nodes, edges, density
1000, 2214, 1.1150592055142348
2000, 5118, 1.1236190784158886
3000, 8680, 1.1326955365248055
4000, 11095, 1.1230038689824042
5000, 12985, 1.112050638189401
6000, 15614, 1.1099381409367475
7000, 18577, 1.1102384221864936
8000, 22079, 1.1129590693412224
9000, 25367, 1.1138085482597042
10000, 28132, 1.1123001521853422
11000, 31960, 1.1146174404642377
12000, 37050, 1.1200257935932876
13000, 42559, 1.125195710894713
14000, 46238, 1.1251459193974709
15000, 49591, 1.1243535101690663
16000, 54958, 1.1274727979454575
17000, 59197, 1.1280835170665862
18000, 61991, 1.126209575632903
19000, 65406, 1.1254720507754319
20000, 69498, 1.1257704111826046
21000, 73830, 1.1263271334598397
22000, 78744, 1.1275312957721082
23000, 84142, 1.1291426278432288
24000, 88026, 1.1288521705051324
25000, 91431, 1.1280493731113
26000, 96294, 1.128794861179819
27000, 102302, 1.1305513135154859
28000, 109275, 1.132975437268414
29000, 117004, 1.1357572120535262
30000, 123133, 1.1369748932623749
31000, 130023, 1.1386346793773219
32000, 137610, 1.140616853951661
33000, 146760, 1.1434307322782185
34000, 156152, 1.1461043174067918
35000, 167342, 1.1495437357451515
36000, 179740, 1.1532695066821688
37000, 193228, 1.1571446223355732
38000, 207739, 1.1610849998765225
39000, 217513, 1.1625811604082334
40000, 222602, 1.1619859523941138
41000, 227720, 1.161424714781518
42000, 234902, 1.1617125482749724
43000, 242697, 1.1622102232133074
44000, 251044, 1.1628738833618686
45000, 259891, 1.1636672995604476
46000, 268712, 1.1643939611172394
47000, 277969, 1.1652145417822417
48000, 287690, 1.166127633553552
49000, 296983, 1.1668449456308796
50000, 307519, 1.1678882709773089
51000, 317811, 1.168791694867783
52000, 329394, 1.1699982553156292
53000, 341556, 1.171282556645303
54000, 353659, 1.1724689440884477
55000, 366848, 1.1738524075470853
56000, 381058, 1.175393866454259
57000, 391040, 1.1758554112407755
58000, 393945, 1.1746657239893037
59000, 397077, 1.1735586680054744
60000, 400171, 1.172471384637616
61000, 403699, 1.1715091471037913
62000, 407384, 1.170606313416276
63000, 411844, 1.1698967150669137
64000, 416737, 1.1692991297518989
65000, 421298, 1.1686454711824934
66000, 426295, 1.168100200795947
67000, 431746, 1.167662863305298
68000, 436500, 1.1670923633916614
69000, 442171, 1.1667217038384226
70000, 447643, 1.1663193914652619
71000, 453666, 1.1660348358437176
72000, 459711, 1.1657601986000616
73000, 466094, 1.1655556654080443
74000, 473302, 1.165510016014192
75000, 480490, 1.1654590673945506
76000, 487758, 1.1654213572579655
77000, 495764, 1.1655143348290768
78000, 504292, 1.165693336246171
79000, 516938, 1.1665727814178481
80000, 518934, 1.1656143658996485
81000, 521181, 1.164715498335369
82000, 523793, 1.163894250372749
83000, 526254, 1.1630625296941262
84000, 529097, 1.1623092368609766
85000, 532136, 1.1616019508681517
86000, 535579, 1.1609738247229702
87000, 538950, 1.1603454067360561
88000, 543153, 1.159862934685249
89000, 546635, 1.159273653438866
90000, 550963, 1.1588295130453714
91000, 555093, 1.1583621301469673
92000, 559302, 1.157915400947356
93000, 564265, 1.1575934087763897
94000, 569006, 1.157242889253364
95000, 574042, 1.1569432386244898
96000, 579333, 1.1566869802861643
97000, 584564, 1.1564259150806355
98000, 589718, 1.1561576847984314
99000, 599779, 1.156607924860188
100000, 612638, 1.1574407862441862
101000, 626154, 1.1583351120607677
102000, 635152, 1.158582731892303
103000, 637078, 1.157865764998441
104000, 639196, 1.1571846659028158
105000, 641422, 1.1565275686180136
106000, 644084, 1.155938099394878
107000, 646708, 1.1553519258430094
108000, 649457, 1.1547905927358901
109000, 652536, 1.1542807580023868
110000, 655943, 1.1538212682593483
111000, 659081, 1.1533332586311793
112000, 662337, 1.1528674322429813
113000, 665567, 1.1524047856867365
114000, 669195, 1.151999663561109
115000, 673216, 1.1516503480252658
116000, 676939, 1.1512682201958317
117000, 680888, 1.1509198437744517
118000, 684551, 1.150540529296869
