nodes, edges, density
16, 32, 1.250000000000000
1000, 4916, 1.230537291404806
2000, 10434, 1.217332419779503
3000, 16028, 1.209299022302768
4000, 21616, 1.203415640526260
5000, 27191, 1.198827017974413
6000, 32790, 1.195225155745373
7000, 38377, 1.192185732179289
8000, 43950, 1.189559783372572
9000, 49545, 1.187332294754174
10000, 55138, 1.185362752263637
11000, 60713, 1.183572611164629
12000, 66303, 1.181985523189454
13000, 71898, 1.180550239462443
14000, 77476, 1.179212785618518
15000, 83066, 1.177997077309178
16000, 88659, 1.176874791614209
17000, 94239, 1.175816269496527
17952, 99564, 1.174887109162115
18000, 99828, 1.174837184774793
19000, 105416, 1.173918154999768
20000, 111009, 1.173058126893251
21000, 116964, 1.172557861255919
22000, 122921, 1.172070629419639
22030, 123101, 1.172057239099160
