x_num,x_den,y_num,y_den,x_float,y_float
0,1,0,1,0.0,0.0
4,5,-3,5,0.8,-0.6
7,5,-7,5,1.4,-1.4
3,5,-4,5,0.6,-0.8
7,5,1,5,1.4,0.2
3,5,4,5,0.6,0.8
6,5,0,1,1.2,0.0
2,1,-3,5,2.0,-0.6
11,5,-4,5,2.2,-0.8
7,5,-1,5,1.4,-0.2
4,5,3,5,0.8,0.6
8,5,0,1,1.6,0.0
11,5,4,5,2.2,0.8
7,5,7,5,1.4,1.4
14,5,0,1,2.8,0.0
2,1,3,5,2.0,0.6
11,5,9,5,2.2,1.8
7,5,12,5,1.4,2.4
7,5,6,5,1.4,1.2
3,5,9,5,0.6,1.8
4,5,2,5,0.8,0.4
8,5,1,1,1.6,1.0
4,5,8,5,0.8,1.6
0,1,1,1,0.0,1.0
11,5,1,5,2.2,0.2
7,5,4,5,1.4,0.8
7,5,-2,5,1.4,-0.4
3,5,1,5,0.6,0.2
14,5,1,1,2.8,1.0
2,1,2,5,2.0,0.4
2,1,8,5,2.0,1.6
6,5,1,1,1.2,1.0
11,5,7,5,2.2,1.4
11,5,2,5,2.2,0.4
14,5,11,5,2.8,2.2
14,5,6,5,2.8,1.2
18,5,3,5,3.6,0.6
18,5,8,5,3.6,1.6
3,1,-1,5,3.0,-0.2
3,1,4,5,3.0,0.8
12,5,3,5,2.4,0.6
12,5,8,5,2.4,1.6
8,5,11,5,1.6,2.2
8,5,6,5,1.6,1.2
11,5,3,1,2.2,3.0
11,5,2,1,2.2,2.0
3,1,7,5,3.0,1.4
3,1,12,5,3.0,2.4
7,5,3,5,1.4,0.6
3,5,6,5,0.6,1.2
2,1,7,5,2.0,1.4
6,5,2,1,1.2,2.0
11,5,6,5,2.2,1.2
7,5,9,5,1.4,1.8
14,5,2,1,2.8,2.0
2,1,13,5,2.0,2.6
11,5,14,5,2.2,2.8
7,5,11,5,1.4,2.2
7,5,17,5,1.4,3.4
3,5,14,5,0.6,2.8
4,5,7,5,0.8,1.4
8,5,2,1,1.6,2.0
